Titles,Genre,imdb,Tv-Ratings,runtime,Director,year
Victoria Gotti: My Father's Daughter,"Drama, Crime",5.5,PG,1h 26min,Catherine Cyran,2019
Z-O-M-B-I-E-S 2,"Romance, Comedy, Kids & Family, Fantasy",5.7,N/A,1h 24min,Paul Hoen,2020
Muppets Most Wanted,"Kids & Family, Comedy, Action & Adventure, Crime",6.4,PG,1h 47min,James Bobin,2014
Under Wraps,"Fantasy, Romance, Comedy, Kids & Family",4.8,PG,1h 31min,Alex Zamm,2021
Freaky Friday,"Fantasy, Comedy, Kids & Family",3.8,G,1h 30min,Steve Carr,2018
Soul of a Nation Presents: X / o n e r a t e d – The Murder of Malcolm X and 55 Years to Justice,Documentary,N/A,N/A,42min,Tine Condon,2022
Descendants 2,"Fantasy, Action & Adventure, Kids & Family, Romance",7.5,G,1h 51min,Kenny Ortega,2017
Finding Dory,"Comedy, Drama, Animation, Kids & Family",7.3,PG,1h 37min,Andrew Stanton,2016
Idina Menzel: Which Way to the Stage?,"Music & Musical, Documentary",7.1,PG-13,1h 34min,Anne McCabe,2022
Wolfgang,Documentary,6.9,N/A,1h 18min,David Gelb,2021
Phineas and Ferb: The Movie: Candace Against the Universe,"Science-Fiction, Animation, Kids & Family, Fantasy, Action & Adventure, Mystery & Thriller, Comedy",7.1,G,1h 24min,Bob Bowen,2020
Youngstown Boys,Documentary,7.3,N/A,1h 43min,Jeff Zimbalist,2013
Kitbull,Drama,N/A,PG,9min,Rosana Sullivan,2019
Marvel Studios ASSEMBLED: The Making of WandaVision,Documentary,8.5,PG-13,57min,Brad Baruh,2021
Survive and Advance,Documentary,N/A,N/A,1h 30min,Jonathan Hock,2013
Christmas ...Again?!,Comedy,N/A,G,1h 34min,Andy Fickman,2021
Saving Mr. Banks,"Drama, Comedy, Music & Musical",7.5,PG-13,2h 6min,John Lee Hancock,2013
Miraculous World : New York – United HeroeZ,"Animation, Fantasy, Action & Adventure",N/A,PG,52min,Thomas Astruc,2020
